 Theta1: 0, Theta1: 1, Theta1: 2, Theta1: 3, Theta2: 0, Theta2: 1, Theta2: 2, Theta2: 3, Alpha1: 0, Alpha1: 1, Alpha1: 2, Alpha1: 3, Alpha2: 0, Alpha2: 1, Alpha2: 2, Alpha2: 3, Beta1: 0, Beta1: 1, Beta1: 2, Beta1: 3, Beta2: 0, Beta2: 1, Beta2: 2, Beta2: 3,Gamma1: 0,Gamma1: 1,Gamma1: 2,Gamma1: 3,Gamma2: 0,Gamma2: 1,Gamma2: 2,Gamma2: 3
0.08329531079006847,0.3195636264247614,0.4916255825967947,0.5480851984106233,0.7572767978659569,1.202676736343692,0.6895677503361103,0.38154986616350106,-0.14877365362176986,0.7900335558481887,0.9113541760214042,0.9187938257691894,1.134672860840977,1.6758856761498926,1.2154459149542893,0.7288421541547268,0.8077845007627251,0.949869597086703,1.0485138778842775,0.9501222344733105,1.1674853080223857,1.7718442750864092,1.4400698240037761,0.7874302070837111,1.0286986389391461,0.8183372614610708,1.0157194160489746,0.8654796743956896,1.0352728240994782,1.6659933461657206,1.4480343234512403,0.7904893560999251
1.094459678803916,0.8164576532520883,0.9513333277139232,0.8605258006011453,1.0904865385158133,1.818151641387069,1.3111066241677969,0.8536234969779469,1.1830585049349276,0.9739663402239774,0.8407339059021838,0.8313994921533263,1.089560903508952,1.8318614678847245,1.1274047262852602,1.0980871376302026,1.1137240981970682,0.936984679502276,0.7012018982855671,0.7632398457884764,0.9862905706786426,1.6128389276900026,1.4100217149219003,1.0595233370318458,0.9572021666208737,0.6697302944279082,0.6999575317819515,0.7015034056048438,0.8599474132886378,1.5509511190596517,1.4038200277443678,0.42951120168516166
0.8982181098192445,0.7267292287945374,0.8648946179835866,0.9026510592399831,1.0609138639316762,1.8132298985310518,1.2772545824954886,1.219648047256105,1.1768545815384697,0.8630537928202534,0.9492888842852238,0.9715670575372697,1.1503001285441936,1.8474817708335822,1.1643130366751742,1.3483044099763195,1.2557254546473486,0.7624211910755332,0.9170955904156771,0.9026949998847063,1.0371988813932915,1.6560669964240977,1.4172471443885997,1.0805528485303515,1.1599531304358848,0.8076102025633359,0.9028872773502852,0.8052226730309117,1.006796345175097,1.5904195480439591,1.4938756425717656,1.054605985951073
1.1758787749712556,1.0953773402346152,0.9736455356131327,0.9060209562940221,1.1816287632798905,1.8239557466151595,1.3609234923367242,1.4064977732626136,1.3013517487154624,1.1212772483687952,0.9729283244140378,0.9901835832175698,1.1972410824543633,1.85051378624195,1.1303302816007688,1.4186638479428495,1.2148355612131225,0.946955608704645,0.9788458550519464,0.9774320265779581,1.0916903380563276,1.6394328583384807,1.2127851523828277,1.0949526848979385,0.8081710254303455,0.9341889742127376,0.9943182860038405,0.9785468480447831,1.0907040901092462,1.5875168350277302,1.310636826555294,1.0073242761338514
0.9070245714766629,1.0512145016633503,0.9414305131723933,1.021973476982163,1.2381749209758626,1.8309993728643892,1.1546751267232975,1.44110517201033,1.2685523010124589,1.0396202799242553,0.903827280487849,0.9915453988325256,1.2269161963338084,1.8572871364918009,1.0264393600162987,1.4572120561210622,1.406627844935477,0.8882284452595125,0.8881371866481588,0.9159085079126713,1.1038832547681336,1.6422750388509149,1.0513789511542768,1.2127523067169699,1.3518022220397488,0.9709914900984685,0.8791702970082006,0.9716657064409853,1.112805603191951,1.5651040993718708,1.2527826114189278,0.6385948276488933
1.3206502617240545,0.9702102233526031,1.0249047645730847,1.0373357427436674,1.2512607413182244,1.8194126077781136,1.2294387381162302,0.9603476085025818,1.3775989817611463,0.8549058554636939,1.0403113415478182,1.0520861440396085,1.2586437892649018,1.8611798511891209,1.121719146700383,1.135607531931234,1.4106911512622133,0.7612522165256176,1.1069172905948743,0.9807124414070028,1.1402004879075345,1.6844167217079415,1.005176272449889,1.072981141224952,1.3619917887708048,0.8533360120382607,1.1039055326080205,0.9353784979851985,1.1154472321217141,1.650388154862466,1.0786200535859605,0.8403672842397664
1.2595336280761045,1.0302951777390832,1.0335163522168123,0.9930811002296701,1.2460645666667798,1.8540124516636516,0.9970700749463833,0.804564632319757,1.187535739052719,1.0299451267965065,0.8932663845788087,0.9850676029100619,1.2013140025210454,1.8644249718201498,1.1379590684679772,0.826638724874925,1.1700070478896107,0.8589676053592916,0.6729492817613741,0.9244883772731357,0.9943385966957509,1.6536757331196552,1.3789181427137092,0.657199998759396,1.1290529175827935,0.9287021638232666,0.6106731472968178,0.9605528796679883,1.0470031062522394,1.6096255677368134,1.3564429696469364,1.0514567216516038
0.9584043389091574,1.1188698786050058,0.7800984920481013,1.0198184123247607,1.2013453409981674,1.8325561906468013,1.196472736035812,1.3575300005932838,0.9768173290838711,1.1425237273122777,0.8873966837923084,0.973857604513143,1.1823824309257176,1.8575557896942805,1.268333457803793,1.3873058315963445,1.0929382000951877,0.985302225632777,0.8397857205635715,0.812964579882969,1.0446935969649342,1.6573320995541214,1.5054572094762146,1.1875298082576526,0.9907059191964752,0.9159529599582055,0.7182773628607866,0.9220921240103899,1.1124897931575612,1.6244855414068302,1.5261765873418323,1.145996504960062
0.9028188789023752,1.0872225397731026,0.930332551284478,1.0091585759397443,1.2247519533044717,1.836390777834169,1.3022142335848594,1.4472957406552782,1.2186894445075303,1.1052155884862587,0.8643988293371202,0.9632297894148502,1.1835735389544249,1.8591582771160062,1.2594556642718822,1.408737222162524,1.3454532178939878,0.961099594714341,0.5940598986368368,0.9067179917518435,1.0882221822978448,1.6852402738977037,1.29637897745388,1.0827413546528073,1.2870004346237125,1.1459915643347829,0.7563897735347711,0.9797861274763944,1.1210438926506843,1.6335036561296454,1.3002499817923652,0.7358810177476938
1.3036842791942915,1.1110890007293033,0.8451422803898114,1.0450348305417654,1.2425644904090878,1.8345354231563333,1.1246163762183217,1.262768857720035,1.3522399700000256,0.9833839150711261,0.8091130213560646,1.0846658481399236,1.2327280834883414,1.8522893528912356,1.2931809047177745,1.3255451708927177,1.3467660201648426,0.8100127882251672,0.746380294517177,1.050783529948973,1.1182629866644056,1.6404966207739071,1.372625526391531,1.1665667674082263,1.3176862975680994,0.8292464513341744,0.8662502049249067,1.0534946172090383,1.1932753811132324,1.5908837010949766,1.3478104936304094,0.7027224493550879
